ID,Categorie,Logiciel Proprietaire,Editeur,Description,Difficulte Migration,Nb Alternatives OSS,URL
bureautique_microsoft_365,Bureautique & Productivite,Microsoft 365,Microsoft,"Suite bureautique cloud avec Word, Excel, PowerPoint, Outlook, Teams",Moyenne,4,https://www.microsoft.com/microsoft-365
bureautique_google_workspace,Bureautique & Productivite,Google Workspace,Google (Alphabet),"Suite collaborative cloud avec Docs, Sheets, Slides, Gmail, Drive",Moyenne,3,https://workspace.google.com
bureautique_apple_iwork,Bureautique & Productivite,Apple iWork,Apple Inc.,"Pages, Numbers, Keynote - suite bureautique Apple",Faible,2,https://www.apple.com/iwork
collaboration_microsoft_teams,Collaboration & Communication,Microsoft Teams,Microsoft,"Plateforme de collaboration unifiee (chat, visio, partage de fichiers)",Faible,4,https://www.microsoft.com/microsoft-teams
collaboration_slack,Collaboration & Communication,Slack,Salesforce,"Messagerie d'entreprise par canaux, integrations riches",Faible,3,https://slack.com
collaboration_zoom,Collaboration & Communication,Zoom,Zoom Video Communications,"Visioconference, webinars, telephonie cloud",Faible,4,https://zoom.us
collaboration_google_meet,Collaboration & Communication,Google Meet,Google (Alphabet),Visioconference integree Google Workspace,Faible,2,https://meet.google.com
crm_salesforce,CRM & Relation Client,Salesforce,Salesforce Inc.,"CRM cloud leader, gestion de la relation client, marketing automation",Elevee,5,https://www.salesforce.com
crm_hubspot_crm,CRM & Relation Client,HubSpot CRM,HubSpot Inc.,"CRM gratuit/freemium avec marketing, sales, service hubs",Moyenne,3,https://www.hubspot.com
crm_pipedrive,CRM & Relation Client,Pipedrive,Pipedrive,"CRM pipeline, vente, suivi commercial",Moyenne,2,https://www.pipedrive.com
erp_sap_s_4hana,ERP & Gestion d'Entreprise,SAP S/4HANA,SAP SE,"ERP leader mondial, gestion integree des processus metier",Tres elevee,5,https://www.sap.com
erp_oracle_netsuite,ERP & Gestion d'Entreprise,Oracle NetSuite,Oracle Corporation,"ERP cloud pour PME/ETI, financier, CRM, e-commerce",Elevee,3,https://www.netsuite.com
erp_microsoft_dynamics_365,ERP & Gestion d'Entreprise,Microsoft Dynamics 365,Microsoft,"ERP/CRM cloud modulaire, finance, supply chain, RH",Elevee,3,https://dynamics.microsoft.com
erp_infor_cloudsuite,ERP & Gestion d'Entreprise,Infor CloudSuite,Infor (Koch Industries),"ERP cloud, verticalise par industrie",Elevee,2,https://www.infor.com
bi_tableau,Business Intelligence & Analytics,Tableau,Salesforce,"Visualisation de donnees, dashboards interactifs, analytics",Moyenne,5,https://www.tableau.com
bi_power_bi,Business Intelligence & Analytics,Power BI,Microsoft,"Business analytics, visualisation, reporting integre Microsoft",Moyenne,3,https://powerbi.microsoft.com
bi_qlik_sense,Business Intelligence & Analytics,Qlik Sense,Qlik (Thoma Bravo),"BI associative, data discovery, visualisation",Moyenne,2,https://www.qlik.com
cloud_stockage_dropbox,Cloud & Stockage,Dropbox,Dropbox Inc.,"Stockage cloud, synchronisation de fichiers, partage",Faible,4,https://www.dropbox.com
cloud_stockage_google_drive,Cloud & Stockage,Google Drive,Google (Alphabet),"Stockage cloud, suite bureautique integree, partage",Faible,2,https://drive.google.com
cloud_stockage_onedrive,Cloud & Stockage,OneDrive,Microsoft,Stockage cloud integre Windows/Office 365,Faible,2,https://onedrive.live.com
cloud_stockage_box,Cloud & Stockage,Box,Box Inc.,"Stockage cloud entreprise, collaboration, workflow",Faible,2,https://www.box.com
devops_github,DevOps & Infrastructure,GitHub,Microsoft,"Hebergement de code, CI/CD, gestion de projet, copilot",Faible,4,https://github.com
devops_jenkins_(cloudbees),DevOps & Infrastructure,Jenkins (CloudBees),CloudBees,"CI/CD, automation, orchestration de pipelines",Faible,5,https://www.cloudbees.com
devops_gitlab_(saas_payant),DevOps & Infrastructure,GitLab (SaaS payant),GitLab Inc.,"Hebergement GitLab managed, CI/CD, DevOps",Faible,3,https://gitlab.com
devops_datadog,DevOps & Infrastructure,Datadog,Datadog,"Monitoring cloud, APM, logs, infrastructure",Moyenne,4,https://www.datadoghq.com
design_adobe_creative_cloud,Design & Creation Graphique,Adobe Creative Cloud,Adobe Inc.,"Suite creative : Photoshop, Illustrator, InDesign, Premiere, After Effects",Moyenne,6,https://www.adobe.com/creativecloud
design_figma,Design & Creation Graphique,Figma,Figma (Adobe - rachat en cours),"Design UI/UX collaboratif, prototypage, design systems",Moyenne,3,https://www.figma.com
design_canva,Design & Creation Graphique,Canva,Canva,"Design graphique simplifie, templates, collaboration",Faible,3,https://www.canva.com
video_adobe_premiere_pro,Montage Video & Audio,Adobe Premiere Pro,Adobe Inc.,"Montage video professionnel, etalonnage, effets",Moyenne,5,https://www.adobe.com/products/premiere
video_final_cut_pro,Montage Video & Audio,Final Cut Pro,Apple Inc.,"Montage video pro pour Mac, optimisation Apple Silicon",Faible,3,https://www.apple.com/final-cut-pro
