Logiciel Proprietaire ID,Logiciel Proprietaire,Alternative OSS,Licence,Maturite,Communaute,Pays Origine,Compatibilite Formats,Fonctionnalites Cles,Support Commercial,URL
bureautique_microsoft_365,Microsoft 365,LibreOffice,MPL-2.0,A,tres forte,DE,Native ODF + import/export Microsoft,"Writer, Calc, Impress, Base, Draw, Math","Collabora, TDF",https://www.libreoffice.org
bureautique_microsoft_365,Microsoft 365,OnlyOffice,AGPL-3.0,A,forte,LV,100% compatible Microsoft,"Edition collaborative temps reel, integration Nextcloud",Ascensio System,https://www.onlyoffice.com
bureautique_microsoft_365,Microsoft 365,CryptPad,AGPL-3.0,B,moyenne,FR,ODF + Markdown,"Chiffrement end-to-end, souverainete totale, hebergement francais",XWiki SAS,https://cryptpad.fr
bureautique_microsoft_365,Microsoft 365,SoftMaker Office,Proprietaire (payant),B,faible,DE,Compatible Microsoft,"Leger, rapide, pas d'abonnement",SoftMaker,https://www.softmaker.com
bureautique_google_workspace,Google Workspace,LibreOffice + Nextcloud,MPL-2.0 / AGPL-3.0,A,tres forte,DE,ODF + Microsoft,"Collaboration en ligne, partage de fichiers, integration complete",Nextcloud GmbH,https://nextcloud.com
bureautique_google_workspace,Google Workspace,CryptPad,AGPL-3.0,B,moyenne,FR,ODF + Markdown,"Zero-knowledge, souverainete francaise",XWiki SAS,https://cryptpad.fr
bureautique_google_workspace,Google Workspace,Zoho Office,Proprietaire,B,faible,IN,Microsoft + ODF,"Suite complete, alternative non-US",Zoho Corp,https://www.zoho.com
bureautique_apple_iwork,Apple iWork,LibreOffice,MPL-2.0,A,tres forte,DE,ODF + Microsoft,"Multi-plateforme, complet",Collabora,https://www.libreoffice.org
bureautique_apple_iwork,Apple iWork,OnlyOffice,AGPL-3.0,A,forte,LV,Microsoft,Collaboration temps reel,Ascensio,https://www.onlyoffice.com
collaboration_microsoft_teams,Microsoft Teams,Mattermost,MIT,A,forte,US,API REST,"Self-hosted, Slack-like, haute securite, on-premise",Mattermost Inc.,https://mattermost.com
collaboration_microsoft_teams,Microsoft Teams,Element (Matrix),Apache-2.0,A,tres forte,UK,Matrix protocol,"Federation, chiffrement E2E, souverainete des serveurs",Element (New Vector),https://element.io
collaboration_microsoft_teams,Microsoft Teams,Rocket.Chat,MIT,A,forte,BR,API,"Omnichannel, self-hosted, tres personnalisable",Rocket.Chat Technologies,https://rocket.chat
collaboration_microsoft_teams,Microsoft Teams,Jami,GPL-3.0,B,moyenne,CA,P2P,"P2P decentralise, pas de serveur, chiffrement E2E",Savoir-faire Linux,https://jami.net
collaboration_slack,Slack,Mattermost,MIT,A,forte,US,API,"Alternative directe, self-hosted",Mattermost Inc.,https://mattermost.com
collaboration_slack,Slack,Zulip,Apache-2.0,A,forte,US,API,"Threads organises, tres efficace pour grandes equipes",Kandra Labs,https://zulip.com
collaboration_slack,Slack,Revolt,AGPL-3.0,C,moyenne,UK,API,"UI Discord-like, 100% open source",Communautaire,https://revolt.chat
collaboration_zoom,Zoom,Jitsi Meet,Apache-2.0,A,tres forte,FR,WebRTC,"Self-hosted, chiffrement E2E optionnel, tres leger",8x8 / Communautaire,https://jitsi.org
collaboration_zoom,Zoom,BigBlueButton,LGPL-3.0,A,forte,CA,WebRTC,"E-learning, partage d'ecran, sondages, integration Moodle",Blindside Networks,https://bigbluebutton.org
collaboration_zoom,Zoom,Element Call,Apache-2.0,B,forte,UK,Matrix/WebRTC,"Integration Matrix, federation, E2E",Element,https://element.io
collaboration_zoom,Zoom,PeerTube Live,AGPL-3.0,B,forte,FR,HLS/WebRTC,"Federe, pas de centralisation, souverainete",Framasoft,https://joinpeertube.org
collaboration_google_meet,Google Meet,Jitsi Meet,Apache-2.0,A,tres forte,FR,WebRTC,"Self-hosted, E2E",8x8,https://jitsi.org
collaboration_google_meet,Google Meet,BigBlueButton,LGPL-3.0,A,forte,CA,WebRTC,E-learning,Blindside Networks,https://bigbluebutton.org
crm_salesforce,Salesforce,Odoo CRM,LGPL-3.0,A,tres forte,BE,API REST,"CRM integre ERP, modulaire, tres complet",Odoo SA,https://www.odoo.com
crm_salesforce,Salesforce,SuiteCRM,AGPL-3.0,A,forte,UK,API,"Fork SugarCRM, mature, self-hosted",SalesAgility,https://suitecrm.com
crm_salesforce,Salesforce,EspoCRM,GPL-3.0,B,moyenne,UA,API,"Leger, moderne, facile a deployer",EspoCRM,https://www.espocrm.com
crm_salesforce,Salesforce,Dolibarr,GPL-3.0,A,forte,FR,API,"Francais, modulaire, ERP/CRM leger","DoliCloud, NLTechno",https://www.dolibarr.org
crm_salesforce,Salesforce,CiviCRM,AGPL-3.0,A,forte,US,API,"Specialise associations/ONG, tres mature","Cividesk, etc.",https://civicrm.org
crm_hubspot_crm,HubSpot CRM,Odoo CRM,LGPL-3.0,A,tres forte,BE,API,CRM + ERP integre,Odoo SA,https://www.odoo.com
crm_hubspot_crm,HubSpot CRM,Mautic,GPL-3.0,A,forte,US,API,Marketing automation open source,Acquia,https://www.mautic.org
crm_hubspot_crm,HubSpot CRM,EspoCRM,GPL-3.0,B,moyenne,UA,API,"Moderne, rapide",EspoCRM,https://www.espocrm.com
crm_pipedrive,Pipedrive,Odoo CRM,LGPL-3.0,A,tres forte,BE,API,"Pipeline, opportunites",Odoo SA,https://www.odoo.com
